danceability,energy,loudness,mode,speechiness,acousticness,liveness,valence,tempo,name
0.494,0.899,-5.081,0,0.165,0.599,0.111,0.559,79.895,Hale Dil Harshit Saxena
0.614,0.653,-5.056,0,0.036,0.353,0.113,0.379,103.989,"Aye Khuda - Kshitij Tarey, Saim Bhat, Mithoon"
0.296,0.485,6.389,0,0.0269,0.478,0.111,0.452,199.807,Keep
0.461,0.481,-6.389,0,0.0327,0.789,0.127,0.262,199.807,"Phir Mohabbat - Mohammed Irfan, Arijit Singh, Saim Bhat"
0.223,0.359,-7.569,1,0.0312,0.845,0.133,0.193,73.059,"Hamari Adhuri Kahani (Title Track) - Jeet Gannguli, Arijit Singh"
0.314,0.478,-7.201,0,0.0412,0.783,0.147,0.276,199.631,"Humnava - Mithoon, Papon"
0.296,0.581,-5.945,0,0.0338,0.433,0.0577,0.231,147.935,Hasi - Male Version - Ami Mishra
0.52,0.485,-6.438,0,0.0269,0.927,0.159,0.407,143.901,"Hasi - Female Version - Ami Mishra, Shreya Ghoshal"
0.553,0.705,-6.898,1,0.0308,0.478,0.278,0.324,95.007,"Har Kisi Ko - Arijit Singh, Neeti Mohan"
0.662,0.873,-3.927,1,0.0489,0.043,0.338,0.532,89.972,"Kaabil Hoon - Jubin Nautiyal, Palak Muchhal"
0.615,0.58,-7.477,0,0.0411,0.332,0.148,0.498,87.977,Kisi Se Pyar Ho Jaye - Jubin Nautiyal
0.722,0.895,-4.371,0,0.117,0.093,0.185,0.388,115.969,Mon Amour - Vishal Dadlani
0.693,0.896,-4.114,1,0.0682,0.31,0.195,0.854,126.995,"Radha - Pritam, Shahid Mallya, Sunidhi Chauhan"
0.751,0.835,-4.462,1,0.0887,0.0549,0.111,0.509,124.97,"Beech Beech Mein - Pritam, Arijit Singh, Shalmali Kholgade, Shefali Alvares"
0.307,0.604,-5.592,1,0.0397,0.593,0.0789,0.452,85.641,"Safar - Pritam, Arijit Singh"
0.606,0.601,-5.576,1,0.0283,0.796,0.127,0.453,125.961,"Hawayein - Pritam, Arijit Singh"
0.501,0.828,-2.495,0,0.114,0.053,0.135,0.483,84.659,Backbone - Harrdy Sandhu
0.319,0.552,-6.401,1,0.0307,0.719,0.144,0.221,93.991,"Humsafar - Akhil Sachdeva, Mansheel Gujral"
0.759,0.952,-2.837,1,0.123,0.105,0.0693,0.812,128.039,"Badri Ki Dulhania (Title Track) - Dev Negi, Neha Kakkar, Monali Thakur, Ikka"
0.724,0.848,-4.724,1,0.0522,0.0787,0.104,0.781,123.02,"Tamma Tamma Again - Bappi Lahiri, Anuradha Paudwal, Badshah"
0.626,0.561,-6.644,0,0.0304,0.0482,0.304,0.794,167.916,"Jab Mila Tu - Vishal-Shekhar, Vishal Dadlani"
0.585,0.698,-6.261,1,0.0392,0.42,0.363,0.621,139.831,"Bin Tere - Vishal-Shekhar, Shafqat Amanat Ali, Sunidhi Chauhan"
0.747,0.81,-8.352,0,0.0541,0.0688,0.0592,0.937,130.012,"I Hate Luv Storys - Vishal-Shekhar, Vishal Dadlani"
0.595,0.739,-6.733,1,0.0359,0.0716,0.134,0.722,87.834,"Bahara - Vishal-Shekhar, Shreya Ghoshal, Sona Mohapatra"
0.678,0.547,-6.89,1,0.0286,0.232,0.0785,0.579,143.892,"Sadka - Vishal-Shekhar, Suraj Jagan, Mahalakshmi Iyer"
0.62,0.627,-6.187,1,0.0307,0.497,0.133,0.557,82.008,Nazm Nazm - Arko
0.436,0.696,-4.676,1,0.0322,0.0587,0.145,0.299,79.955,"Bairaagi - Arijit Singh, Samira Koppikar"
0.555,0.496,-7.175,1,0.0329,0.64,0.0767,0.391,82.229,Nazm Nazm feat. Ayushmann Khurana - Ayushmann Khurrana
0.813,0.692,-4.718,0,0.0577,0.206,0.124,0.487,102.015,Ban Ja Rani - Guru Randhawa
0.794,0.781,-4.854,0,0.0536,0.05,0.139,0.836,102.982,"Hawa Hawai 2.0 - Kavita Krishnamurthy, Shashaa Tirupati"
0.746,0.782,-6.192,0,0.0397,0.277,0.108,0.665,98.976,"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra) - Ash King, Jigar Saraiya, Raftaar, Sidharth Malhotra"
